Depth m,Bulk Den. [g/cm3],Grain den. (g/cm3),Porosity,Void ratio,Vp [km/s]
0.43,1.501,2.796,0.731,2.716,1.5247659272461311
2.77,1.627,2.826,0.665,1.987,1.5524364588242547
5.08,1.634,2.849,0.6659999999999999,1.99,1.5519101724901812
7.41,1.754,2.841,0.598,1.49,1.596828311861748
10.78,1.757,2.859,0.6,1.502,1.5952152203353267
11.78,1.606,2.871,0.685,2.176,1.542578135187566
14.79,1.63,2.794,0.6579999999999999,1.923,1.5562227775506454
17.5,1.806,2.846,0.5710000000000001,1.328,1.620607894135208
20.08,2.249,2.875,0.33799999999999997,0.511,2.07796296627785
23.12,1.788,2.844,0.58,1.384,1.6122537142338316
25.12,1.737,2.855,0.61,1.567,1.5874383368378977
27.09,1.634,2.812,0.659,1.933,1.5556707987618208
30.17,1.789,2.856,0.5820000000000001,1.394,1.6104567848779368
33.05,1.807,2.826,0.565,1.301,1.626427718681094
36.52,1.775,2.858,0.59,1.442,1.6034791735080063
39.42,1.857,2.853,0.545,1.197,1.647358279574724
40.9,1.837,2.861,0.557,1.258,1.6345108163614956
44.5,1.692,2.859,0.636,1.749,1.569341825357604
55.55,1.884,2.838,0.526,1.11,1.6695918310750915
59.55,1.719,2.81,0.611,1.569,1.586686570683356
65.45,1.889,2.826,0.52,1.083,1.6771251284995898
69.0,1.881,2.843,0.529,1.122,1.6659198396844803
73.65,1.708,2.849,0.625,1.666,1.5766379664763568
75.11,1.78,2.794,0.573,1.343,1.6187129626023646
77.1,1.827,2.831,0.556,1.25,1.6355478234389693
79.69,1.921,2.84,0.506,1.025,1.6957234007729052
81.32,1.936,2.864,0.504,1.018,1.6985013538673708
87.74,1.873,2.843,0.5329999999999999,1.141,1.6611199000216854
90.99,1.815,2.807,0.556,1.253,1.6355478234389693
93.74,1.868,2.823,0.531,1.133,1.6635062628726436
97.56,1.888,2.814,0.517,1.072,1.6809883617285992
100.46,1.821,2.793,0.55,1.22,1.6418971605131945
102.09,1.913,2.814,0.503,1.012,1.699902010853489
106.86,1.902,2.815,0.51,1.04,1.6902598302776513
109.64,1.659,2.838,0.65,1.854,1.560774512600542
111.48,2.171,2.838,0.368,0.582,1.9815138520532383
116.56,1.804,2.853,0.574,1.345,1.6177738147496301
119.45,2.071,2.813,0.415,0.709,1.8591142485350134
120.41,1.528,2.851,0.7240000000000001,2.622,1.5270748823431888
125.81,1.879,2.834,0.527,1.115,1.6683609043337513
129.06,1.994,2.816,0.45899999999999996,0.848,1.7699037885262685
131.66,1.99,2.819,0.462,0.857,1.7645713991532102
135.22,1.747,2.842,0.603,1.517,1.592832048664609
139.2,1.92,2.842,0.507,1.03,1.69434602517845
